id,popularity,budget,revenue,original_title,genres,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
336004,1.449072,8900000,50136,Heist,Crime|Action|Thriller,2015-11-13,233,5.4,2015,8187996.39728158,46125.099704956105
287903,1.448002,15000000,61548707,Krampus,Horror|Comedy|Fantasy,2015-11-26,342,5.9,2015,13799993.9280026,56624785.5250943
182560,1.443406,20000000,208588,Dark Places,Drama|Mystery|Thriller,2015-03-31,322,5.7,2015,18399991.9040035,191900.87556361398
192141,1.41239,5000000,54418872,No Escape,Action|Thriller,2015-08-26,519,6.7,2015,4599997.97600089,50065340.2112503
308639,1.40805,700000,17986781,Dope,Crime|Drama|Comedy,2015-06-19,448,7.3,2015,643999.716640124,16547831.2389542
261392,1.3882510000000001,28000000,28208085,American Ultra,Comedy|Action,2015-08-19,695,5.9,2015,25759988.665604897,25951426.781372197
304357,1.388032,11000000,61619773,Woman in Gold,Drama,2015-04-10,277,7.3,2015,10119995.5472019,56690166.216326796
297291,1.38032,0,0,The Scorpion King: The Lost Throne,Action|Fantasy|Adventure,2015-01-09,22,4.5,2015,0.0,0.0
266294,1.3766049999999999,30000000,105011053,Sisters,Comedy,2015-12-18,399,5.9,2015,27599987.856005296,96610126.25154442
227719,1.360926,12000000,32248241,Project Almanac,Science Fiction|Thriller,2015-01-30,637,6.3,2015,11039995.1424021,29668368.665917702
86828,1.360827,0,5189646,Absolutely Anything,Comedy|Science Fiction,2015-06-26,199,5.8,2015,0.0,4774472.21923222
287948,1.3558219999999999,25000000,72629670,The Transporter Refueled,Thriller|Action|Crime,2015-09-03,407,5.3,2015,22999989.8800044,66819266.9995225
201085,1.345982,55000000,74679822,Crimson Peak,Mystery|Thriller|Fantasy|Horror|Drama,2015-10-13,819,6.4,2015,50599977.7360098,68705406.0096213
277355,1.342839,0,0,Everly,Thriller|Action,2015-01-23,169,5.1,2015,0.0,0.0
264999,1.338481,14800000,122413057,Magic Mike XXL,Comedy|Drama|Music,2015-07-01,501,6.3,2015,13615994.0089626,112619962.88721599
146301,1.338322,10000000,78099553,Paranormal Activity: The Ghost Dimension,Horror|Thriller,2015-10-21,267,5.0,2015,9199995.95200178,71851557.1453148
223485,1.329702,0,229094,Slow West,Romance|Thriller|Western,2015-04-16,229,6.6,2015,0.0,210766.38726278898
294016,1.316239,15000000,8235661,Trumbo,Drama,2015-10-27,273,7.2,2015,13799993.9280026,7576804.78620589
290751,1.315266,19500000,32189727,Secret in Their Eyes,Crime|Drama|Mystery,2015-10-14,202,6.2,2015,17939992.1064034,29614535.809604198
309245,1.29314,0,2500431,Mistress America,Comedy,2015-08-14,132,6.4,2015,0.0,2300395.50782597
228165,1.291013,74000000,311594032,The SpongeBob Movie: Sponge Out of Water,Family|Animation,2015-02-05,533,5.7,2015,68079970.0448131,286666383.306791
245706,1.284541,0,4719695,True Story,Crime|Drama|Mystery,2015-04-17,354,6.0,2015,0.0,4342117.4894683
272878,1.278928,20000000,43967255,Max,Adventure|Drama|Family,2015-06-26,214,7.0,2015,18399991.9040035,40449856.802063
263109,1.25358,0,59700000,Shaun the Sheep Movie,Family|Animation|Comedy|Adventure,2015-02-05,340,6.9,2015,0.0,54923975.83345061
157827,1.251681,11000000,0,Louder Than Bombs,Drama,2015-05-18,43,6.3,2015,10119995.5472019,0.0
321751,1.2452239999999999,0,1702433,A Perfect Day,Comedy|Drama,2015-08-28,102,6.3,2015,0.0,1566237.67085542
266396,1.225325,40000000,10664749,The Gunman,Action|Drama|Crime,2015-02-16,283,5.6,2015,36799983.808007106,9811564.7629115
277685,1.191138,1000000,62882090,Unfriended,Horror|Thriller,2015-04-17,643,5.6,2015,919999.595200178,57851497.3453411
